Metadata,https://docs.google.com/spreadsheets/d/1cu5zZQa3rjGgzvacid182bdxiSGuUmvLZN0S9Dt27jI/edit?gid=873732735#gid=873732735,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Coach Name,,,,,,,,,,,,,,,,,,,,,,,,
,Eight Fucking Water Team,Smoke,,,,,,,,,,,,,,,,,,,,,,,,
,Rampaging Rufflets,rssp1,,,,,,,,,,,,,,,,,,,,,,,,
,Praise The Sun,SonnyDayz,,,,,,,,,,,,,,,,,,,,,,,,
,Sussy Occa,LuminousFox,,,,,,,,,,,,,,,,,,,,,,,,
,The Overgrown Torterras,Tezzy,,,,,,,,,,,,,,,,,,,,,,,,
,The Bellowing Thunders,Squigs,,,,,,,,,,,,,,,,,,,,,,,,
,No Switch In?,Picante,,,,,,,,,,,,,,,,,,,,,,,,
,Sexo Mode Activated,blerg,,,,,,,,,,,,,,,,,,,,,,,,
,Agency's Strongest Soldier,Joseph,,,,,,,,,,,,,,,,,,,,,,,,
,Petalburg Pixies,Adrian,,,,,,,,,,,,,,,,,,,,,,,,
,That Dog in Him,Tiger78,,,,,,,,,,,,,,,,,,,,,,,,
,The Choiced Specialists,brokenmotor,,,,,,,,,,,,,,,,,,,,,,,,
,The Silver Knights,Holy Macaroni,,,,,,,,,,,,,,,,,,,,,,,,
,Let Me Cook,materia,,,,,,,,,,,,,,,,,,,,,,,,
,Jubilife Sinnoh-Ham Fighters,insideoutside,,,,,,,,,,,,,,,,,,,,,,,,
,Ballin' Moon,Arboursole,,,,,,,,,,,,,,,,,,,,,,,,
,Bay Area Bunnies,bagel,,,,,,,,,,,,,,,,,,,,,,,,
,HEHEHEHARVEST,namu,,,,,,,,,,,,,,,,,,,,,,,,
,Man,mb12,,,,,,,,,,,,,,,,,,,,,,,,
,Bay Area Basculegions,eragon11145,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Weeks,W.,B.,ID.,Coach Name,R.,S.,vs.,S.,R.,Coach Name,ID.,R.,S.,,,,,,,,,,,,,
,1,1,1,Tiger78,W,2,vs.,2,L,brokenmotor,6,W,2,,,,,,,,,,,,,
,1,2,2,Arboursole,W,2,vs.,2,L,mb12,7,W,2,,,,,,,,,,,,,
,1,3,3,materia,L,5,vs.,5,W,namu,8,L,-5,,,,,,,,,,,,,
,1,4,4,Holy Macaroni,W,4,vs.,4,L,bagel,9,W,4,,,,,,,,,,,,,
,1,5,5,insideoutside,L,3,vs.,3,W,eragon11145,10,L,-3,,,,,,,,,,,,,
,2,1,1,Tiger78,L,1,vs.,1,W,Arboursole,2,L,-1,,,,,,,,,,,,,
,2,2,3,materia,L,2,vs.,2,W,brokenmotor,6,L,-2,,,,,,,,,,,,,
,2,3,4,Holy Macaroni,W,2,vs.,2,L,mb12,7,W,2,,,,,,,,,,,,,
,2,4,5,insideoutside,L,3,vs.,3,W,namu,8,L,-3,,,,,,,,,,,,,
,2,5,9,bagel,W,4,vs.,4,L,eragon11145,10,W,4,,,,,,,,,,,,,
,3,1,1,Tiger78,W,6,vs.,6,L,materia,3,W,6,,,,,,,,,,,,,
,3,2,2,Arboursole,L,1,vs.,1,W,Holy Macaroni,4,L,-1,,,,,,,,,,,,,
,3,3,5,insideoutside,W,3,vs.,3,L,brokenmotor,6,W,3,,,,,,,,,,,,,
,3,4,7,mb12,L,5,vs.,5,W,eragon11145,10,L,-5,,,,,,,,,,,,,
,3,5,8,namu,W,5,vs.,5,L,bagel,9,W,5,,,,,,,,,,,,,
,4,1,1,Tiger78,W,2,vs.,2,L,Holy Macaroni,4,W,2,,,,,,,,,,,,,
,4,2,3,materia,W,3,vs.,3,L,insideoutside,5,W,3,,,,,,,,,,,,,
,4,3,2,Arboursole,L,2,vs.,2,W,eragon11145,10,L,-2,,,,,,,,,,,,,
,4,4,6,brokenmotor,W,5,vs.,5,L,bagel,9,W,5,,,,,,,,,,,,,
