Metadata,https://docs.google.com/spreadsheets/d/1rXLToBVuQirLsVXvpm9LoYWxXfN_QMOuDisMHe_slZQ/edit?gid=1166627944#gid=1166627944,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Coach Name,,,,,,,,,,,,,,,,,,,,,,,,
,Turbo Blazer$,Arboursole,,,,,,,,,,,,,,,,,,,,,,,,
,The Silver Knights,Holy Macaroni,,,,,,,,,,,,,,,,,,,,,,,,
,The Skibidi Rotoms,Swaguora,,,,,,,,,,,,,,,,,,,,,,,,
,Marketable Plushies,Materia5408,,,,,,,,,,,,,,,,,,,,,,,,
,GPT Gooners,Penxil,,,,,,,,,,,,,,,,,,,,,,,,
,Rampaging Rufflets,rssp1,,,,,,,,,,,,,,,,,,,,,,,,
,The BROKEN MOTORS,blerg,,,,,,,,,,,,,,,,,,,,,,,,
,The Third Placers,eragon,,,,,,,,,,,,,,,,,,,,,,,,
,Lunar Fight Club,PokemonDept,,,,,,,,,,,,,,,,,,,,,,,,
,"Goons, Goons, Goons",brokenmotor,,,,,,,,,,,,,,,,,,,,,,,,
,Mommy Medichams,Joseph,,,,,,,,,,,,,,,,,,,,,,,,
,The Washington Football Team,insideoutside,,,,,,,,,,,,,,,,,,,,,,,,
,i love daddy dolphn uwu,Smoke,,,,,,,,,,,,,,,,,,,,,,,,
,REGIMAN SUM,Dolphn,,,,,,,,,,,,,,,,,,,,,,,,
,Red Star Reshiram,Tezzy,,,,,,,,,,,,,,,,,,,,,,,,
,Certified Unc Status,SonnyDayz,,,,,,,,,,,,,,,,,,,,,,,,
,BRICK  BY BRICK,Tiger78,,,,,,,,,,,,,,,,,,,,,,,,
,The Gholdenbros,Squigs,,,,,,,,,,,,,,,,,,,,,,,,
,The Stupids,Le Chonk,,,,,,,,,,,,,,,,,,,,,,,,
,Green Bay Greedents,Etay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Weeks,1,1,1,Arboursole,W,1,vs.,1,L,rssp1,6,W,1,,,,,,,,,,,,,
,1,2,2,Holy Macaroni,L,1,vs.,1,W,blerg,7,L,-1,,,,,,,,,,,,,
,1,3,3,Swaguora,L,4,vs.,4,W,eragon,8,L,-4,,,,,,,,,,,,,
,1,4,4,Materia5408,L,4,vs.,4,W,PokemonDept,9,L,-4,,,,,,,,,,,,,
,1,5,5,Penxil,W,4,vs.,4,L,brokenmotor,10,W,4,,,,,,,,,,,,,
,2,1,1,Arboursole,W,2,vs.,2,L,Holy Macaroni,2,W,2,,,,,,,,,,,,,
,2,2,3,Swaguora,DF,3,vs.,3,W,rssp1,6,L,-3,,,,,,,,,,,,,
,2,3,4,Materia5408,L,4,vs.,4,W,blerg,7,L,-4,,,,,,,,,,,,,
,2,4,5,Penxil,L,3,vs.,3,W,eragon,8,L,-3,,,,,,,,,,,,,
,2,5,9,PokemonDept,L,6,vs.,6,W,brokenmotor,10,L,-6,,,,,,,,,,,,,
,3,1,1,Arboursole,W,3,vs.,3,DF,Swaguora,3,W,3,,,,,,,,,,,,,
,3,2,2,Holy Macaroni,W,3,vs.,3,L,Materia5408,4,W,3,,,,,,,,,,,,,
,3,3,5,Penxil,W,2,vs.,2,L,rssp1,6,W,2,,,,,,,,,,,,,
,3,4,7,blerg,L,3,vs.,3,W,brokenmotor,10,L,-3,,,,,,,,,,,,,
,3,5,8,eragon,W,3,vs.,3,DF,PokemonDept,9,W,3,,,,,,,,,,,,,
,4,1,1,Arboursole,W,5,vs.,5,L,Materia5408,4,W,5,,,,,,,,,,,,,
,4,2,3,Swaguora,DF,3,vs.,3,W,Penxil,5,L,-3,,,,,,,,,,,,,
,4,3,2,Holy Macaroni,W,4,vs.,4,L,brokenmotor,10,W,4,,,,,,,,,,,,,
,4,4,6,rssp1,W,3,vs.,3,DF,PokemonDept,9,W,3,,,,,,,,,,,,,
