Metadata,https://docs.google.com/spreadsheets/d/1LC1BVzHsjmwq2FEqtoJhslfPbsr1m0mBYsUb8gA_4mc/edit?gid=1166627944#gid=1166627944,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Coach Name,,,,,,,,,,,,,,,,,,,,,,,,
,Wings of Ruin,RayOfDarkness,,,,,,,,,,,,,,,,,,,,,,,,
,Arizona Swellows,jowdy,,,,,,,,,,,,,,,,,,,,,,,,
,The Golden Age,Tiger78,,,,,,,,,,,,,,,,,,,,,,,,
,Adapt or Drown,Arboursole,,,,,,,,,,,,,,,,,,,,,,,,
,cough agree guys?,Tezzy,,,,,,,,,,,,,,,,,,,,,,,,
,THE LEGENDARY LEVICNCIANS,Squigs,,,,,,,,,,,,,,,,,,,,,,,,
,Anistar Angels,Katie,,,,,,,,,,,,,,,,,,,,,,,,
,Sigma Grindset,Le Chonk,,,,,,,,,,,,,,,,,,,,,,,,
,Expanding Force,Matt,,,,,,,,,,,,,,,,,,,,,,,,
,Rampaging Rufflets,rssp1,,,,,,,,,,,,,,,,,,,,,,,,
,Alaka-ZAMMNN!!,Joseph,,,,,,,,,,,,,,,,,,,,,,,,
,Mass Times Velocity,brokenmotor,,,,,,,,,,,,,,,,,,,,,,,,
,Daddy Smurf,blerg,,,,,,,,,,,,,,,,,,,,,,,,
,Five Turns in Rain,Penxil,,,,,,,,,,,,,,,,,,,,,,,,
,Chesapeke Cloyster Catchers,insideoutside,,,,,,,,,,,,,,,,,,,,,,,,
,,David V,,,,,,,,,,,,,,,,,,,,,,,,
,Slow and Not Steady,NAMU,,,,,,,,,,,,,,,,,,,,,,,,
,Mendicant Bias,Anthony,,,,,,,,,,,,,,,,,,,,,,,,
,Derpy Dondozos,RobotX888,,,,,,,,,,,,,,,,,,,,,,,,
,Spectral Alloy,rsha256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Weeks,1,1,1,RayOfDarkness,W,4,vs.,4,L,Squigs,6,W,4,,,,,,,,,,,,,
,1,2,2,jowdy,L,1,vs.,1,W,Katie,7,L,-1,,,,,,,,,,,,,
,1,3,3,Tiger78,W,5,vs.,5,L,Le Chonk,8,W,5,,,,,,,,,,,,,
,1,4,4,Arboursole,W,2,vs.,2,L,Matt,9,W,2,,,,,,,,,,,,,
,1,5,5,Tezzy,L,4,vs.,4,W,rssp1,10,L,-4,,,,,,,,,,,,,
,2,1,1,RayOfDarkness,W,6,vs.,6,L,jowdy,2,W,6,,,,,,,,,,,,,
,2,2,3,Tiger78,W,3,vs.,3,L,Squigs,6,W,3,,,,,,,,,,,,,
,2,3,4,Arboursole,W,4,vs.,4,L,Katie,7,W,4,,,,,,,,,,,,,
,2,4,5,Tezzy,W,5,vs.,5,L,Le Chonk,8,W,5,,,,,,,,,,,,,
,2,5,9,Matt,W,2,vs.,2,L,rssp1,10,W,2,,,,,,,,,,,,,
,3,1,1,RayOfDarkness,L,2,vs.,2,W,Tiger78,3,L,-2,,,,,,,,,,,,,
,3,2,2,jowdy,F,3,vs.,3,W,Arboursole,4,L,-3,,,,,,,,,,,,,
,3,3,5,Tezzy,W,2,vs.,2,L,Squigs,6,W,2,,,,,,,,,,,,,
,3,4,7,Katie,L,1,vs.,1,W,rssp1,10,L,-1,,,,,,,,,,,,,
,3,5,8,Le Chonk,W,3,vs.,3,L,Matt,9,W,3,,,,,,,,,,,,,
,4,1,1,RayOfDarkness,W,3,vs.,3,L,Arboursole,4,W,3,,,,,,,,,,,,,
,4,2,3,Tiger78,W,5,vs.,5,L,Tezzy,5,W,5,,,,,,,,,,,,,
,4,3,2,jowdy,DF,3,vs.,3,W,rssp1,10,L,-3,,,,,,,,,,,,,
,4,4,6,Squigs,W,1,vs.,1,L,Matt,9,W,1,,,,,,,,,,,,,
,4,5,7,Katie,L,4,vs.,4,W,Le Chonk,8,L,-4,,,,,,,,,,,,,
,5,1,1,RayOfDarkness,W,2,vs.,2,L,Tezzy,5,W,2,,,,,,,,,,,,,
,5,2,4,Arboursole,L,2,vs.,2,W,rssp1,10,L,-2,,,,,,,,,,,,,
,5,3,3,Tiger78,L,2,vs.,2,W,Matt,9,L,-2,,,,,,,,,,,,,
,5,4,2,jowdy,DF,3,vs.,3,W,Le Chonk,8,L,-3,,,,,,,,,,,,,
,5,5,6,Squigs,L,3,vs.,3,W,Katie,7,L,-3,,,,,,,,,,,,,
,6,1,1,RayOfDarkness,W,2,vs.,2,L,rssp1,10,W,2,,,,,,,,,,,,,
,6,2,5,Tezzy,W,1,vs.,1,L,Matt,9,W,1,,,,,,,,,,,,,
,6,3,4,Arboursole,W,4,vs.,4,L,Le Chonk,8,W,4,,,,,,,,,,,,,
,6,4,3,Tiger78,W,3,vs.,3,L,Katie,7,W,3,,,,,,,,,,,,,
,6,5,2,jowdy,DF,3,vs.,3,W,Squigs,6,L,-3,,,,,,,,,,,,,
,7,1,1,RayOfDarkness,W,5,vs.,5,L,Matt,9,W,5,,,,,,,,,,,,,
,7,2,8,Le Chonk,L,3,vs.,3,W,rssp1,10,L,-3,,,,,,,,,,,,,
,7,3,5,Tezzy,W,4,vs.,4,L,Katie,7,W,4,,,,,,,,,,,,,
,7,4,4,Arboursole,W,2,vs.,2,L,Squigs,6,W,2,,,,,,,,,,,,,
,7,5,2,jowdy,DF,3,vs.,3,W,Tiger78,3,L,-3,,,,,,,,,,,,,
,8,1,1,RayOfDarkness,W,4,vs.,4,L,Le Chonk,8,W,4,,,,,,,,,,,,,
,8,2,7,Katie,W,3,vs.,3,DF,Matt,9,W,3,,,,,,,,,,,,,
,8,3,6,Squigs,W,4,vs.,4,L,rssp1,10,W,4,,,,,,,,,,,,,
,8,4,2,jowdy,DF,3,vs.,3,W,Tezzy,5,L,-3,,,,,,,,,,,,,
,8,5,3,Tiger78,L,2,vs.,2,W,Arboursole,4,L,-2,,,,,,,,,,,,,
,9,1,1,RayOfDarkness,W,5,vs.,5,L,Katie,7,W,5,,,,,,,,,,,,,
,9,2,6,Squigs,W,6,vs.,6,DF,Le Chonk,8,W,6,,,,,,,,,,,,,
,9,3,2,jowdy,DF,6,vs.,6,W,Matt,9,L,-3,,,,,,,,,,,,,
,9,4,3,Tiger78,L,2,vs.,2,W,rssp1,10,L,-2,,,,,,,,,,,,,
,9,5,4,Arboursole,L,4,vs.,4,W,Tezzy,5,L,-4,,,,,,,,,,,,,
,1,1,6,Squigs,L,4,vs.,4,W,RayOfDarkness,1,L,-4,,,,,,,,,,,,,
,1,2,7,Katie,W,1,vs.,1,L,jowdy,2,W,1,,,,,,,,,,,,,
,1,3,8,Le Chonk,L,5,vs.,5,W,Tiger78,3,L,-5,,,,,,,,,,,,,
,1,4,9,Matt,L,2,vs.,2,W,Arboursole,4,L,-2,,,,,,,,,,,,,
,1,5,10,rssp1,W,4,vs.,4,L,Tezzy,5,W,4,,,,,,,,,,,,,
,2,1,2,jowdy,L,6,vs.,6,W,RayOfDarkness,1,L,-6,,,,,,,,,,,,,
,2,2,6,Squigs,L,3,vs.,3,W,Tiger78,3,L,-3,,,,,,,,,,,,,
,2,3,7,Katie,L,4,vs.,4,W,Arboursole,4,L,-4,,,,,,,,,,,,,
,2,4,8,Le Chonk,L,5,vs.,5,W,Tezzy,5,L,-5,,,,,,,,,,,,,
,2,5,10,rssp1,L,2,vs.,2,W,Matt,9,L,-2,,,,,,,,,,,,,
,3,1,3,Tiger78,W,2,vs.,2,L,RayOfDarkness,1,W,2,,,,,,,,,,,,,
,3,2,4,Arboursole,W,3,vs.,3,F,jowdy,2,W,3,,,,,,,,,,,,,
,3,3,6,Squigs,L,2,vs.,2,W,Tezzy,5,L,-2,,,,,,,,,,,,,
,3,4,10,rssp1,W,1,vs.,1,L,Katie,7,W,1,,,,,,,,,,,,,
,3,5,9,Matt,L,3,vs.,3,W,Le Chonk,8,L,-3,,,,,,,,,,,,,
,4,1,4,Arboursole,L,3,vs.,3,W,RayOfDarkness,1,L,-3,,,,,,,,,,,,,
,4,2,5,Tezzy,L,5,vs.,5,W,Tiger78,3,L,-5,,,,,,,,,,,,,
,4,3,10,rssp1,W,3,vs.,3,DF,jowdy,2,W,3,,,,,,,,,,,,,
,4,4,9,Matt,L,1,vs.,1,W,Squigs,6,L,-1,,,,,,,,,,,,,
,4,5,8,Le Chonk,W,4,vs.,4,L,Katie,7,W,4,,,,,,,,,,,,,
,5,1,5,Tezzy,L,2,vs.,2,W,RayOfDarkness,1,L,-2,,,,,,,,,,,,,
,5,2,10,rssp1,W,2,vs.,2,L,Arboursole,4,W,2,,,,,,,,,,,,,
,5,3,9,Matt,W,2,vs.,2,L,Tiger78,3,W,2,,,,,,,,,,,,,
,5,4,8,Le Chonk,W,3,vs.,3,DF,jowdy,2,W,3,,,,,,,,,,,,,
,5,5,7,Katie,W,3,vs.,3,L,Squigs,6,W,3,,,,,,,,,,,,,
,6,1,10,rssp1,L,2,vs.,2,W,RayOfDarkness,1,L,-2,,,,,,,,,,,,,
,6,2,9,Matt,L,1,vs.,1,W,Tezzy,5,L,-1,,,,,,,,,,,,,
,6,3,8,Le Chonk,L,4,vs.,4,W,Arboursole,4,L,-4,,,,,,,,,,,,,
,6,4,7,Katie,L,3,vs.,3,W,Tiger78,3,L,-3,,,,,,,,,,,,,
,6,5,6,Squigs,W,3,vs.,3,DF,jowdy,2,W,3,,,,,,,,,,,,,
,7,1,9,Matt,L,5,vs.,5,W,RayOfDarkness,1,L,-5,,,,,,,,,,,,,
